run	embeddings	accuracy	precision	recall	f1_score
3	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.804224	0.852521	0.885156	0.868532
4	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.806507	0.859435	0.878906	0.869061
5	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.805936	0.853916	0.885938	0.869632
6	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.810502	0.843478	0.909375	0.875188
7	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.804795	0.858015	0.878125	0.867954
8	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.795662	0.854071	0.868750	0.861348
9	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.802511	0.853788	0.880469	0.866923
10	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.804795	0.854766	0.882812	0.868563
1	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.834475	0.889151	0.883594	0.886364
2	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.836758	0.896332	0.878125	0.887135
3	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.839612	0.903148	0.874219	0.888448
4	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.836758	0.899518	0.874219	0.886688
5	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.817352	0.916667	0.825000	0.868421
6	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.839041	0.899200	0.878125	0.888538
7	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.832763	0.907514	0.858594	0.882377
8	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.836187	0.902676	0.869531	0.885794
9	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.825342	0.896580	0.860156	0.877990
10	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.832763	0.906173	0.860156	0.882565
1	sent_emb_glove_vad_dot_product_hstack_pca	0.805936	0.856061	0.882812	0.869231
2	sent_emb_glove_vad_dot_product_hstack_pca	0.801941	0.863035	0.866406	0.864717
3	sent_emb_glove_vad_dot_product_hstack_pca	0.799087	0.865931	0.857812	0.861852
